university,country,language,non_eng_level,IELTS_min,GPA_min,SAT_min,accept-rate,international_cost_min,international_cost_max,local_rank,global_rank,scholarship,is_public,stud-faculty-ratio,,link
University of Bremen,Germany,German,0,C1,3.0,0,18,758,758,37/400+,530,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-bremen.de/en
University of Duisburg-Essen,Germany,German,0,C1,3.0,0,24,754,754,22/400+,801-850,"Yes, but limited and highly competitive.",Public,10:1,,https://www.uni-due.de/en/
University of Ulm,Germany,German,0,C1,2.7,0,19,3898,3898,25/400+,546,"Yes, but limited and highly competitive.",Public,10:1 to 15:1,,https://www.uni-ulm.de/en/
Technical University of Darmstadt,Germany,German,0,C1,3.0,0,20,884,884,15/400+,253,"Yes, but limited and highly competitive.",Public,9:1,,https://www.tu-darmstadt.de/index.en.jsp
University of Würzburg,Germany,German,0,C1,3.0,0,37.5,394,394,17/400+,416,"Yes, but limited and highly competitive.",Public,12:1,,https://www.uni-wuerzburg.de/en/
Charité – Universitätsmedizin Berlin,Germany,German,0,C1,3.0,0,1,9860,9860,Consistently ranked as the #1 medical school in Germany by multiple ranking bodies., top 30 medical schools worldwide,"Yes, but limited and highly competitive.",Public,3:1,,https://www.charite.de/en/
Bielefeld University,Germany,German,0,C1,2.5,0,41.5,696,696,41/400+,1001,"Yes, but limited and highly competitive.",Public,8:1,,https://www.uni-bielefeld.de/uni/profil/
National and Kapodistrian University of Athens,Greece,Greek,0,C1,2.6,0,n,14040,14040,1/24,216,"Yes, but limited and highly competitive.",Public,32:1,,https://en.uoa.gr/
Aristotle University of Thessaloniki,Greece,Greek,0,C1,2.5,0,n,6480,6480,2/24,485,"Yes, but limited and highly competitive.",Public,19:1,,https://www.auth.gr/en/ 
National Technical University of Athens (NTUA),Greece,Greek,0,C1,2.5,0,n,770,770,3/24,355,"Yes, but limited and highly competitive.",Public,8:1,,https://www.ntua.gr/en/
University of Crete,Greece,Greek,0,C1,2.5,0,n,0,14040,5/24,816,"Yes, but limited and highly competitive.",Public,23:1,,https://en.uoc.gr/
University of Patras,Greece,Greek,0,C1,2.2,0,n,3390,3390,5/24,721-730,"Yes, but limited and highly competitive.",Public,35:1,,https://www.upatras.gr/en/ 
Athens University of Economics and Business (AUEB),Greece,Greek,0,C1,3.0,0,n,0,7452,4/24,951-1000,"Yes, but limited and highly competitive.",Public,40:1,,https://www.aueb.gr/en/ 
University of Ioannina,Greece,Greek,0,C1,3.0,0,n,0,2160,6/24,1001-1200,"Yes, but limited and highly competitive.",Public,35:1,,https://www.uoi.gr/en/
University of Thessaly,Greece,Greek,0,C1,3.0,0,n,0,2160,8/24,1201-1500,"Yes, but limited and highly competitive.",Public,20:1,,https://www.uth.gr/en/
Democritus University of Thrace,Greece,Greek,0,C1,3.2,0,30,0,4320,8/24,1001-1200,"Yes, but limited and highly competitive.",Public,38:1,,https://duth.gr/en/
Agricultural University of Athens,Greece,Greek,0,C1,3.0,0,n,0,4434,10/24,1797,"Yes, but limited and highly competitive.",Public,9:1,,https://www2.aua.gr/en
Harokopio University,Greece,Greek,0,C1,2.5,0,n,0,4320,11/24,1001-1200,"Yes, but limited and highly competitive.",Public,44:1,,https://interstudies.hua.gr/
University of Macedonia,Greece,Greek,0,C1,2.5,0,n,0,4320,14/24,1001-1200,"Yes, but limited and highly competitive.",Public,20:1,,https://www.uom.gr/en/about/the-history-of-the-university-of-macedonia
Technical University of Crete,Greece,Greek,0,C1,0,0,n,0,1080,9/24,601-650,"Yes, but limited and highly competitive.",Public,13:1,,https://www.tuc.gr/en/ 
University of Piraeus,Greece,Greek,0,C1,2.0,0,n,0,4320,14/24,1001-1200,"Yes, but limited and highly competitive.",Public,20:1,,https://www.unipi.gr/en/ 
Ionian University,Greece,Greek,0,C1,0,0,n,0,2000,16/24,1501+,"Yes, but limited and highly competitive.",Public,10:1,,https://ionio.gr/en/
Panteion University of Social and Political Sciences,Greece,Greek,0,C1,3.0,0,n,0,4487,15/24,1201-1500,"Yes, but limited and highly competitive.",Public,45:1,,https://www.panteion.gr/en/
University of the Aegean,Greece,Greek,0,C1,2.0,0,n,0,4500,9/24,1001-1200,"Yes, but limited and highly competitive.",Public,66:1,,https://www.aegean.gr/en/
Eötvös Loránd University (ELTE),Hungary,"Hungarian, English",6.0,B2,2.0,0,15,0,8500,1/64,508,"Yes, significant scholarship opportunities are available.",Public,13:1,,https://www.elte.hu/en/
Semmelweis University (medical focus),Hungary,"English, German, Hungarian",6.5,C1,0,0,n,7200,19900,Ranked among the top 5 universities in Hungary and is considered the country's best medical university.,251-300,"Yes, significant scholarship opportunities are available.",Public,8:1,,https://semmelweis.hu/english/about-semmelweis-university/
University of Szeged,Hungary,"Hungarian, English",6.0,B2,2.5,0,50,4000,8500,2/64,597,"Yes, significant scholarship opportunities are available.",Public,10:1 to 12:1,,https://u-szeged.hu/english
University of Debrecen,Hungary,"Hungarian, English",6.0,B2,3.2,0,n,4500,8500,1/64,563,"Yes, significant scholarship opportunities are available.",Public,12:1,,https://edu.unideb.hu/
Budapest University of Technology and Economics (BME),Hungary,"Hungarian, English",5.5,B2,0,0,n,3800,5300,1/64,711-720,"Yes, significant scholarship opportunities are available.",Public,17:1,,https://www.bme.hu/en/
University of Pécs,Hungary,"Hungarian, English",6.0,B2,3.2,0,n,4500,16750,Ranked among the top universities in Hungary.,741,"Yes, significant scholarship opportunities are available.",Public,12:1,,https://international.pte.hu/
Corvinus University of Budapest,Hungary,"Hungarian, English",6.0,B2,0,0,n,4500,12500,"Consistently ranked among the top universities in Hungary, particularly for economics and business.",1001-1200,"Yes, significant scholarship opportunities are available.","The university is considered a public institution but operates under a state-run foundation model, which allows it greater financial and administrative autonomy.",21:1,,https://www.uni-corvinus.hu/en/
Hungarian University of Agriculture and Life Sciences (MATE),Hungary,"Hungarian, English",6.0,B2,0,0,n,4300,5400,"Consistently ranked among the top universities in Hungary, particularly for its fields of specialization.",1001-1200,"Yes, significant scholarship opportunities are available.",Public,13:1,,https://en.uni-mate.hu/
Széchenyi István University,Hungary,"Hungarian, English",5.5,B2,0,0,n,7000,8500,Ranked among the top universities in Hungary and is considered a leader in engineering and IT.,1001-1200,"Yes, significant scholarship opportunities are available.",Public,12:1,,https://admissions.sze.hu/
Óbuda University,Hungary,"Hungarian, English",5.5,B2,3.0,0,n,5400,5400,6/64,1001-1200,"Yes, significant scholarship opportunities are available.",Public,12:1 to 13:1,,https://uni-obuda.hu/en/
University of Miskolc,Hungary,"Hungarian, English",5.5,B2,0,0,n,5400,5400,"The university is consistently ranked among the top universities in Hungary, with specific high rankings in certain subject areas",1201-1400,"Yes, significant scholarship opportunities are available.",Public,15:1,,https://www.uni-miskolc.hu/en/
Szent István University,Hungary,"Hungarian, English",6.0,B2,0,0,n,4300,5400,"Consistently ranked among the top universities in Hungary, particularly for its fields of specialization.",1001-1200,"Yes, significant scholarship opportunities are available.",Public,13:1,,https://en.uni-mate.hu/
University of Oxford,UK,English,7.5,0,3.8,0,14.2,12000,62000,1/160+,3,"Yes, a wide range of scholarships is available.",Public,11:1,,https://www.ox.ac.uk/
University of Cambridge,UK,English,7.5,0,3.8,0,21.2,12800,90300,1/160+,6,"Yes, a wide range of scholarships is available.",Public,10:1,,https://www.cam.ac.uk/about-the-university?ucam-ref=home-menu
University College London (UCL),UK,English,7.5,0,3.3,1440,14.2,38000,68000,Consistently ranked among the top 10 universities in the UK.,9,"Yes, a wide range of scholarships is available.",Public,10:1,,https://www.ucl.ac.uk/
Imperial College London,UK,English,7.0,0,3.8,0,15,52400,68700,1/160+,9,"Yes, a wide range of scholarships is available.",Public,5:1,,https://www.imperial.ac.uk/
London School of Economics and Political Science (LSE),UK,English,7.0,0,3.3,0,8.5,42400,54300,3/160+,56,"Yes, a wide range of scholarships is available.",Public,10:1,,https://www.lse.ac.uk/ 
King's College London,UK,English,7.5,0,3.7,1300,13.5,38000,68000,5/160+,31,"Yes, a wide range of scholarships is available.",Public,13:1,,https://www.kcl.ac.uk/ 
University of Edinburgh,UK,English,7.5,0,3.7,1200,27.5,32000,47000,Consistently ranked among the top 10 universities in the UK.,34,"Yes, a wide range of scholarships is available.",Public,7.5:1,,https://www.ed.ac.uk/
University of Manchester,UK,English,7.5,0,3.3,1290,39,32000,60000,22/160+,35,"Yes, a wide range of scholarships is available.",Public,13:1,,https://www.manchester.ac.uk/ 
University of Bristol,UK,English,7.5,0,3.4,0,67,26500,62000,16/160+,51,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.bristol.ac.uk/ 
University of Warwick,UK,English,7.0,0,3.5,0,14,33500,60000,9/160+,74,"Yes, a wide range of scholarships is available.",Public,10:1,,https://warwick.ac.uk/
University of Glasgow,UK,English,7.0,0,3.3,0,74,26500,42000,Ranked among the top 15 universities in the UK.,79,"Yes, a wide range of scholarships is available.",Public,15.4:1,,https://www.gla.ac.uk/
Durham University,UK,English,7.0,0,3.3,0,41,30000,37000,5/160+,94,"Yes, a wide range of scholarships is available.",Public,13.7:1,,https://www.durham.ac.uk/
University of Birmingham,UK,English,7.0,0,3.3,1290,41,29000,37000,11/160+,76,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.birmingham.ac.uk/
University of Sheffield,UK,English,6.5,0,3.0,0,85,21900,39100,16/160+,92,"Yes, a wide range of scholarships is available.",Public,13:1,,https://www.sheffield.ac.uk/ 
University of Nottingham,UK,English,7.0,0,3.2,1300,11,29500,39500,17/160+,97,"Yes, a wide range of scholarships is available.",Public,15.7:1,,https://www.nottingham.ac.uk/ 
University of Southampton,UK,English,6.5,0,3.2,1300,85,21900,39100,14/160+,87,"Yes, a wide range of scholarships is available.",Public,14.7:1,,https://www.southampton.ac.uk/ 
University of Leeds,UK,English,6.5,0,3.3,0,12,29500,37000,13/160+,86,"Yes, a wide range of scholarships is available.",Public,15.4:1,,https://www.leeds.ac.uk/ 
University of Exeter,UK,English,7.0,0,3.3,1300,73,28000,40000,23/160+,155,"Yes, a wide range of scholarships is available.",Public,10:1,,https://www.exeter.ac.uk/
Queen Mary University of London,UK,English,7.0,0,3.5,0,18,32000,51000,16/160+,110,"Yes, a wide range of scholarships is available.",Public,14:1,, https://www.qmul.ac.uk/
University of York,UK,English,7.0,0,3.2,1250,41,29000,41000,17/160+,169,"Yes, a wide range of scholarships is available.",Public,13.7:1,,https://www.york.ac.uk/ 
Cardiff University,UK,English,7.0,0,3.0,0,19,24500,30000,18/160+,181,"Yes, a wide range of scholarships is available.",Public,9.8:1,,https://www.cardiff.ac.uk/about
University of Liverpool,UK,English,7.0,0,3.0,1100,85,21900,39100,19/160+,147,"Yes, a wide range of scholarships is available.",Public,9.6:1,,https://www.liverpool.ac.uk/ 
University of Sussex,UK,English,7.0,0,3.0,1300,61,22100,30000,17/160+,278,"Yes, a wide range of scholarships is available.",Public,13:1,,https://www.sussex.ac.uk/
University of Bath,UK,English,7.0,0,3.3,1300,12.6,30000,39000,8/160+,132,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.bath.ac.uk/ 
University of Reading,UK,English,7.0,0,3.0,0,86,32300,38300,36/160+,194,"Yes, a wide range of scholarships is available.",Public,15.8:1,,https://www.reading.ac.uk/ 
Newcastle University,UK,English,6.5,0,3.3,1300,68,21200,40000,13/160+,137,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.ncl.ac.uk/ 
University of Aberdeen,UK,English,6.5,0,3.0,1250,78,21900,28800,30/160+,262,"Yes, a wide range of scholarships is available.",Public,10.5:1,,https://www.abdn.ac.uk/ 
Loughborough University,UK,English,6.5,0,3.2,1180,60,29000,42200,7/160+,225,"Yes, a wide range of scholarships is available.",Public,14.3:1,,https://www.lboro.ac.uk/ 
University of Leicester,UK,English,6.5,0,3.0,1250,72,22400,37100,31/160+,326,"Yes, a wide range of scholarships is available.",Public,14:1,,https://le.ac.uk/ 
University of Stirling,UK,English,6.5,0,3.0,1200,20,22000,30000,51/160+,517,"Yes, a wide range of scholarships is available.",Public,15.6:1,,https://www.stir.ac.uk/ 
Sapienza University of Rome,Italy,"Italian, English",5.5,B2,3.0,1300,55,1070,3200,2/97,128,"Yes, a wide range of scholarships is available.",Public,27:1,,https://www.uniroma1.it/en
University of Bologna,Italy,"Italian, English",6.0,B2,3.0,0,60,1070,4280,1/97,138,"Yes, a wide range of scholarships is available.",Public,28:1,,https://www.unibo.it/en 
University of Padua,Italy,"Italian, English",6.5,B2,3.0,1300,40,1070,3200,Consistently ranks as a top-tier university in Italy.,233,"Yes, a wide range of scholarships is available.",Public,27:1,,https://www.unipd.it/en 
University of Milan,Italy,"Italian, English",6.5,B2,3.0,0,21,1100,4100,Consistently ranks as one of the top universities in Italy.,276,"Yes, a wide range of scholarships is available.",Public,21:1,,https://www.unimi.it/en 
Politecnico di Milano (Polytechnic University of Milan),Italy,"Italian, English",6.0,B2,3.5,0,28,960,4280,Consistently ranks as one of the top universities in Italy.,98,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.polimi.it/en 
University of Pisa,Italy,"Italian, English",6.0,B2,3.0,0,45,1070,3200,Consistently ranks as one of the top universities in Italy.,343,"Yes, a wide range of scholarships is available.",Public,20:1,,https://www.unipi.it/
University of Florence,Italy,"Italian, English",6.0,B2,3.0,0,60,1300,3200,Consistently ranks as one of the top universities in Italy.,404,"Yes, a wide range of scholarships is available.",Public,22:1,,https://www.unifi.it/ 
University of Naples Federico II,Italy,"Italian, English",6.0,B2,0,0,68,1070,3200,Consistently ranks as one of the top universities in Italy.,379,"Yes, a wide range of scholarships is available.",Public,19:1,,https://www.unina.it/en 
Università degli Studi di Roma Tor Vergata,Italy,"Italian, English",6.0,B2,0,0,55,1070,3200,Consistently ranks as one of the top universities in Italy.,374,"Yes, a wide range of scholarships is available.",Public,20:1,,https://web.uniroma2.it/en 
University of Turin,Italy,"Italian, English",6.5,B2,3.0,0,45,1070,3200,Consistently ranks as one of the top universities in Italy.,408,"Yes, a wide range of scholarships is available.",Public,20:1,, https://www.unito.it/
Politecnico di Torino (Polytechnic University of Turin),Italy,"Italian, English",6.0,B2,3.0,0,40,960,3745,"Consistently ranks as a top technical university in Italy, often placing 1st or 2nd for engineering and architecture.",241,"Yes, a wide range of scholarships is available.",Public,20:1,,https://www.polito.it/en 
University of Trento,Italy,"Italian, English",6.0,B2,3.0,0,55,1070,3200,"Consistently ranks as one of the top universities in Italy, particularly among medium-sized universities.",485,"Yes, a wide range of scholarships is available.",Public,23:1,,https://www.unitn.it/en 
University of Siena,Italy,"Italian, English",6.0,B2,0,0,55,1070,3200,"Consistently ranks as a top-tier university in Italy, and recently ranked 3rd among medium-sized universities",607,"Yes, a wide range of scholarships is available.",Public,15:1,,https://en.unisi.it/ 
University of Pavia,Italy,"Italian, English",6.0,B2,2.8,0,40-50,430,4800,Consistently ranks as a top-tier university in Italy.,423,"Yes, a wide range of scholarships is available.",Public,30:1,,https://en.unipv.it/ 
Catholic University of the Sacred Heart,Italy,"Italian, English",6.0,B2,3.0,0,40,5350,17100,Consistently ranks as a top-tier university in Italy.,521,"Yes, a wide range of scholarships is available.",Private,15:1,,https://international.unicatt.it//
Vita-Salute San Raffaele University,Italy,"Italian, English",7.0,B2,0,0,n,10700,22500,Consistently ranks as a top-tier university in Italy.,461,"Yes, a limited number of scholarships are available.",Private,10:1 to 15:1,,https://www.unisr.it/en 
University of Brescia,Italy,"Italian, English",6.0,B2,0,0,n,1070,3200,Consistently ranks as a top-tier university in Italy.,650,"Yes, a wide range of scholarships is available.",Public,20:1,,https://www.unibs.it/en 
University of Genoa,Italy,"Italian, English",6.0,B2,0,0,40,1070,3200,Consistently ranks as a top-tier university in Italy.,530,"Yes, a wide range of scholarships is available.",Public,20:1,,https://unige.it/en 
University of Bari Aldo Moro,Italy,"Italian, English",6.0,B2,0,0,68,1070,3200,Consistently ranks as a top-tier university in Italy.,379,"Yes, a wide range of scholarships is available.",Public,20:1,,https://www.uniba.it/en 
University of Catania,Italy,"Italian, English",6.0,B2,2.5,0,30,1070,3745,Consistently ranks as a top-tier university in Italy.,851-900,"Yes, a wide range of scholarships is available.",Public,29:1,,https://www.unict.it/en 
University of Palermo,Italy,"Italian, English",6.0,B2,0,0,40,1070,3200,Consistently ranks as a top-tier university in Italy.,851-900,"Yes, a wide range of scholarships is available.",Public,24:1,,https://www.unipa.it/ 
Scuola Normale Superiore di Pisa,Italy,"Italian, English",7.0,B2,0,0,4,0,0,"Consistently ranks as a top-tier institution in Italy, often holding the #1 spot in national rankings for research quality and student satisfaction.","Not ranked as a university, but highly ranked in specific fields (e.g., Classics & Ancient History, Physics & Astronomy).",yes,Public,1:1 to 2:1,,https://www.sns.it/en 
Scuola Superiore Sant'Anna,Italy,"Italian, English",7.0,B2,0,0,4,0,0,"Consistently ranks as a top-tier institution in Italy, often holding the #1 spot in national rankings for research quality and student satisfaction.",332,yes,Public,5:1,,https://www.santannapisa.it/en
University of Verona,Italy,"Italian, English",6.0,B2,0,0,n,1070,3200,23/97,851-900,"Yes, a wide range of scholarships is available.",Public,23:1,,https://www.univr.it/en 
"Bocconi University (private, strong in economics/management)",Italy,"Italian, English",6.0,B2,0,1350,12.5,17100,20400,"Consistently ranks as the #1 university in Italy for economics, business, and social sciences.",149,"Yes, a wide range of scholarships is available.",Private,15:1,,https://www.unibocconi.eu/ 
University of Trieste,Italy,"Italian, English",6.0,B2,0,0,n,640,1800,The university consistently ranks as a top-tier university in Italy.,751-760,"Yes, a wide range of scholarships is available.",Public,24:1,,http://portale.units.it/en
University of Salento,Italy,"Italian, English",6.0,B2,0,0,n,1070,3200,"Consistently ranks among the top universities in Italy, and holds a strong regional position.",1001-1200,"Yes, a wide range of scholarships is available.",Public,25:1,,https://international.unisalento.it/ 
University of Modena and Reggio Emilia,Italy,"Italian, English",6.0,B2,0,0,n,1070,3200,Consistently ranks among the top public universities in Italy.,801-850,"Yes, a wide range of scholarships is available.",Public,28:1,,https://international.unimore.it/ 
University of Parma,Italy,"Italian, English",6.0,B2,0,0,n,1070,3200,14/97,1001-1200,"Yes, a wide range of scholarships is available.",Public,20:1,,https://www.unipr.it/en 
University of Salerno,Italy,"Italian, English",6.0,B2,0,0,n,167,540,31/97,801-850,"Yes, a wide range of scholarships is available.",Public,24:1,,https://web.unisa.it/en 
University of Latvia,Latvia,"Latvian, English",6.0,B2,0,0,n,3200,6400,1/26,801-850,"Yes, a wide range of scholarships is available.",Public,20:1,,https://www.lu.lv/en/ 
Riga Technical University,Latvia,"Latvian, English",6.0,B2,2.4,0,44,3100,6400,1/26,761-770,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.rtu.lv/en 
Riga Stradins University (medical focus),Latvia,"Latvian, English",6.0,B2,0,0,n,3200,21400,"RSU is a top-tier university in Latvia, particularly for its medical programs.",1001-1200,"Yes, a wide range of scholarships is available.",Public,10:1,,https://www.rsu.lv/en 
Latvia University of Life Sciences and Technologies,Latvia,"Latvian, English",5.5,B2,2.4,0,60,3200,5350,3/26,1201-1400,"Yes, a wide range of scholarships is available.",Public,13:1,,https://www.lbtu.lv/en 
Daugavpils University,Latvia,"Latvian, English",5.5,B2,2.4,0,n,3200,6400,Consistently ranks as a top-tier university in Latvia.,"Not ranked in the top 1,500","Yes, a wide range of scholarships is available.",Public,15:1,,https://du.lv/en/ 
Turiba University,Latvia,"Latvian, English",5.5,B2,2.8,0,n,3200,4700,"Turiba consistently ranks as a top-tier university in Latvia, particularly highly recommended by employers.",Turiba University is not ranked in the most recent QS or THE World University Rankings.,"Yes, a wide range of scholarships is available.",Private,15:1,,https://www.turiba.lv/en/university/about-us
Stockholm School of Economics in Riga (SSE Riga),Latvia,English,5.5,0,0,0,n,8132,8132,"Consistently ranks as a top-tier university in Latvia, particularly in the fields of economics and business.","SSE Riga is not ranked in the most recent QS or THE World University Rankings as a university. However, its parent institution, the Stockholm School of Economics (in Sweden), is highly ranked.","Yes, a wide range of scholarships is available.",Private,15:1,,https://www.sseriga.edu/ 
Ventspils University of Applied Sciences,Latvia,"Latvian, English",5.5,B2,0,0,n,3200,5350,VUA consistently ranks among the top regional universities in Latvia. It holds a strong reputation for its specialized fields of study.,VUA is not ranked in the most recent QS or THE World University Rankings.,"Yes, a wide range of scholarships is available.",Public,15:1,,https://en.venta.lv/ 
Liepaja University,Latvia,"Latvian, English",5.5,B2,0,0,n,2460,6300,Liepaja University is a top-tier regional university in Latvia.,Liepaja University is not ranked in the most recent QS or THE World University Rankings.,"Yes, a wide range of scholarships is available.",Public,17:1,,https://www.liepu.lv/en
Transport and Telecommunication Institute (TSI),Latvia,"Latvian, English",5.5,B2,3.0,960,77,3200,6400,TSI is a top private technical university in Latvia. It is also the only private college included in the list of leading scientific institutions in Latvia.,"Not ranked in the top 1,500.","Yes, a wide range of scholarships is available.",Private,"The student-to-faculty ratio is not publicly disclosed, but the university has a high percentage of international faculty.",,https://tsi.lv/future-students/why-tsi/
University of Amsterdam,Netherlands,"Dutch, English",6.5,B2,0,0,n,15000,25000,Consistently ranks as one of the top 3 universities in the Netherlands.,53,"Yes, a wide range of scholarships is available.",Public,12:1,,https://www.uva.nl/en 
Delft University of Technology (TU Delft),Netherlands,"Dutch, English",6.5,B2,3.5,0,82,18500,20000,Consistently ranks as the #1 technical university in the Netherlands.,47,"Yes, a wide range of scholarships is available.",Public,12:1,,https://www.tudelft.nl/en
Leiden University,Netherlands,"Dutch, English",6.5,B2,0,0,63,16000,23500,Consistently ranks as one of the top 3 universities in the Netherlands.,119,"Yes, a wide range of scholarships is available.",Public,14:1,,https://www.universiteitleiden.nl/en 
Utrecht University,Netherlands,"Dutch, English",6.5,B2,0,0,22,15000,22000,Consistently ranks as one of the top 3 universities in the Netherlands.,103,"Yes, a wide range of scholarships is available.",Public,9:1,,https://www.uu.nl/en 
Erasmus University Rotterdam,Netherlands,"Dutch, English",6.5,B2,0,0,n,12000,22000,"Consistently ranks as a top-tier university in the Netherlands, particularly for economics, business, and medicine.",126,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.eur.nl/en 
University of Groningen,Netherlands,"Dutch, English",6.5,B2,0,0,50,13000,18000,Consistently ranks as a top-tier university in the Netherlands.,147,"Yes, a wide range of scholarships is available.",Public,12:1,,https://www.rug.nl/ 
Wageningen University & Research,Netherlands,"Dutch, English",6.5,B2,0,0,55,19000,22700,Consistently ranks as the best university in the Netherlands,153,"Yes, a wide range of scholarships is available.",Public,5:1,,https://www.wur.nl/en 
Vrije Universiteit Amsterdam (VU Amsterdam),Netherlands,"Dutch, English",6.5,B2,0,0,n,14000,22000,Consistently ranks among the top 10 universities in the Netherlands.,153,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.vu.nl/en 
Radboud University Nijmegen,Netherlands,"Dutch, English",6.5,B2,0,0,n,15700,18600,Consistently ranks among the top 10 universities in the Netherlands.,279,"Yes, a wide range of scholarships is available.",Public,7:1,,https://www.ru.nl/en 
Eindhoven University of Technology (TU/e),Netherlands,"Dutch, English",6.5,B2,0,0,n,17000,19000,"Consistently ranks among the top 5 universities in the Netherlands, and often in the top 2 for technology and engineering.",133,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.tue.nl/en
Maastricht University,Netherlands,"Dutch, English",6.5,B2,0,0,52,15000,20000,Consistently ranks as one of the top 10 universities in the Netherlands.,239,"Yes, a wide range of scholarships is available.",Public,7:1,,https://www.maastrichtuniversity.nl/ 
University of Twente,Netherlands,"Dutch, English",6.5,B2,3.0,0,51,10400,19000,Ranks among the top universities in the Netherlands for engineering and technology.,206,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.utwente.nl/enn 
Tilburg University,Netherlands,"Dutch, English",6.5,B2,0,0,n,12500,19000,"Consistently ranks among the top 10 universities in the Netherlands, particularly for economics and law.",337,"Yes, a wide range of scholarships is available.",Public,15:1,,https://www.tilburguniversity.edu/ 
Open University of the Netherlands,Netherlands,"Dutch, English",6.5,B2,0,0,n,10914,20223,The university is highly regarded for its educational quality and ranked well for its specific focus areas in national student surveys.,"The university is not typically included in major international rankings like QS or THE in the same way as traditional research universities, as these rankings often use metrics (e.g., student-to-faculty ratio, campus life) that are not applicable to a distance learning institution.","Yes, though a formal list of scholarships specifically for international students is not as extensive as for traditional universities.",Public,"The student-to-faculty ratio is not a standard metric for a distance learning university. Instead, the focus is on a high level of academic support from tutors and course materials.",,https://www.ou.nl/en 
Nyenrode Business University (private),Netherlands,English,6.5,0,0,0,n,47000,58000,"Consistently ranks as a top business school in the Netherlands, particularly for its MBA programs.","Not ranked in the overall university rankings, but its MBA program is highly ranked in specific business school lists.","Yes, a wide range of scholarships is available.",Private,6:1,,https://www.nyenrode.nl/en 
University of Oslo,Norway,"Norwegian, English",6.5,B2,2.7,0,n,7500,18500,1/47,119,"Yes, a wide range of scholarships is available.",Public,7:1,,https://www.uio.no/english// 
Norwegian University of Science and Technology (NTNU),Norway,"Norwegian, English",6.5,B2,2.8,0,n,7500,18500,2/47,267,"Yes, though NTNU does not offer extensive scholarships to cover tuition fees. Students may be eligible for scholarships offered by external organizations or the Norwegian government.",Public,15:1,,https://www.ntnu.edu/
University of Bergen,Norway,Norwegian,0,B2,2.8,0,29,17600,36000,3/47,287,"Yes, though UiB does not offer extensive scholarships to cover tuition fees. Students may be eligible for scholarships offered by external organizations or the Norwegian government.",Public,5:1,,https://www.uib.no/en 
UiT The Arctic University of Norway (Tromsø),Norway,Norwegian,0,B2,2.8,0,21,15000,25000,5/47,648,"No, UiT does not offer extensive scholarships to cover tuition fees. Students may be eligible for scholarships offered by external organizations or the Norwegian government.",Public,5:1,,https://en.uit.no/ 
Norwegian University of Life Sciences (NMBU),Norway,Norwegian,0,B2,2.8,0,n,16000,22000,Consistently ranks among the top 10 universities in Norway.,"Not ranked in the top 1,500.","No, NMBU does not offer extensive scholarships to cover tuition fees. Students may be eligible for scholarships offered by external organizations or the Norwegian government.",Public,7:1,,https://www.nmbu.no/en
University of Stavanger,Norway,Norwegian,0,B2,2.8,0,31,15400,17700,Consistently ranks among the top 10 universities in Norway.,851 - 900,"Yes, but scholarships are limited. The university offers a few scholarships for master's students from specific partner institutions through programs like NORSTIP.",Public,6:1,,https://www.uis.no/en 
Western Norway University of Applied Sciences,Norway,"Norwegian, English",6.0,B2,0,0,25,15000,25000,Ranks as one of the top professional-oriented universities in Norway.,"Not ranked in the top 1,500.","Yes, but scholarships are limited.",Public,9:1,,https://www.hvl.no/en/ 
University of Agder,Norway,"Norwegian, English",6.0,B2,2.8,0,55,13500,38600,Ranks among the top 10 universities in Norway.,"Not ranked in the top 1,500.","Yes, but scholarships are very limited.",Public,14:1,,https://www.uia.no/en 
OsloMet - Oslo Metropolitan University,Norway,"Norwegian, English",6.5,B2,2.8,0,n,18500,40600,Ranks among the top 10 universities in Norway.,"Not ranked in the top 1,500.","Yes, but scholarships specifically for international students are very limited.",Public,9:1,,https://www.oslomet.no/en/ 
University of Warsaw,Poland,"Polish, English",6.5,C1,0,0,40,2100,4200,1/450+,271,"Yes, though a formal list of scholarships specifically for international students is not as extensive as in other countries. Students may be eligible for general Polish government scholarships or specific university scholarships based on academic merit.",Public,8:1,,https://en.uw.edu.pl/
Jagiellonian University (Kraków),Poland,"Polish, English",6.5,C1,0,0,n,2100,4200,2/450+,312,"Yes, though a formal list of scholarships specifically for international students is not as extensive as in other countries. Students may be eligible for general Polish government scholarships or specific university scholarships based on academic merit.",Public,10:1,,https://en.uj.edu.pl/ 
Warsaw University of Technology,Poland,"Polish, English",6.0,C1,0,0,71,2100,4200,3/450+,487,"Yes, though a formal list of scholarships specifically for international students is not as extensive as in other countries. Students may be eligible for general Polish government scholarships or specific university scholarships based on academic merit.",Public,8:1,,https://eng.pw.edu.pl/ 
