University Name,Country,Language of teaching,"Minimum IELTS score
(or average)","Minimum GPA 
(or average)","Minimum SAT score
(or average)",Acceptance rate (%),"Cost per year 
for interational students","Cost per year 
for local students","National ranking","Global ranking",Scholarship (yes/no),"Public/Private","Student to faculty ratio",Link to official website
Johannes Gutenberg University Mainz,Germany,"Programs are offered in both German and English. While most Bachelor's programs require strong German proficiency, a significant number of Master's and PhD programs are taught entirely in English.",6.5,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with a GPA of 3.0 on a 4.0 scale being a general guideline.","SAT is not required. GMAT/GRE scores are not a general admission requirement but may be a prerequisite for specific competitive Master's programs, particularly in business or economics.",30%,"There are no tuition fees for the majority of Bachelor's and Master's programs. A mandatory semester fee of approximately ~$348 USD (€300 EUR) per semester is required, which includes a public transport pass. The total cost is approximately ~$696 USD (€600 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$348 USD (€300 EUR) per semester.,13/400+,452,"Yes, but limited and highly competitive.",Public, 7:1,https://www.uni-mainz.de/en/
Ruhr University Bochum,Germany,"Programs are offered in both German and English. While most Bachelor's programs require strong German proficiency, many Master's programs are taught entirely in English.",6.0 to 6.5,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with an average GPA of 3.0 on a 4.0 scale being a general reference.","SAT is not required. GMAT/GRE scores may be a prerequisite for certain competitive Master's programs, particularly in business.",36%,"There are no tuition fees for the majority of Bachelor's and Master's programs. A mandatory semester fee of approximately ~$377 USD (€325 EUR) per semester is required, which includes a public transport pass. The total is approximately ~$754 USD (€650 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$377 USD (€325 EUR) per semester.,23/400+,395,"Yes, but limited and highly competitive.",Public,13:1,https://www.ruhr-uni-bochum.de/en/
University of Erlangen-Nuremberg,Germany,"Programs are offered in both German and English. While most Bachelor's programs are in German, many Master's programs are taught entirely in English.",5.5 to 7.5,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with an average GPA of 3.0 on a 4.0 scale being a general reference.","SAT is not a general requirement. GMAT/GRE scores may be required for certain competitive Master's programs, such as in management or business.",46%,"There are no tuition fees. A mandatory semester fee of approximately ~$84 USD (€72 EUR) per semester is required, which covers a public transport ticket and student services. The total is approximately ~$168 USD (€144 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$84 USD (€72 EUR) per semester.,18/400+,332,"Yes, but limited and highly competitive.",Public,9:1,https://www.fau.eu/
University of Konstanz,Germany,"Programs are offered in both German and English. Most Bachelor's programs require strong German proficiency (DSH 2 level), while many Master's programs are taught in English.",6.5,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with an average GPA of 3.0 on a 4.0 scale being a general reference.","SAT is not required. GMAT/GRE scores are not a general admission requirement but may be required for specific Master's programs, such as for the Master of Science in Chemistry which requires a minimum GRE score of 150.",35%,"Non-EU/EEA students are charged tuition fees of ~$1,740 USD (€1,500 EUR) per semester. Additionally, a semester fee of approximately ~$209 USD (€180 EUR) per semester is required. The total cost is approximately ~$3,898 USD (€3,360 EUR) per year.","EU/EEA students do not pay tuition fees. They are only required to pay the semester fee of approximately ~$209 USD (€180 EUR) per semester, totaling ~$418 USD (€360 EUR) per year.",23/400+,440,"Yes, but limited and highly competitive.",Public,9:1,https://www.uni-konstanz.de/en/ 
Leipzig University,Germany,"Programs are offered in both German and English. While most Bachelor's programs are in German, a number of Master's programs are taught entirely in English.",6.0 to 6.5,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with an average GPA of 3.0 on a 4.0 scale being a general reference.","SAT is not required. GMAT/GRE scores may be a prerequisite for certain competitive Master's programs, such as the MBA.",33%,"There are no tuition fees for the majority of Bachelor's and Master's programs. A mandatory semester fee of approximately ~$325 USD (€280 EUR) per semester is required, which covers a public transport pass. The total is approximately ~$650 USD (€560 EUR) per year. Some specialized programs may have their own tuition fees.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$325 USD (€280 EUR) per semester.,21/400+,535,"Yes, but limited and highly competitive.",Public,9:1,https://www.uni-leipzig.de/en 
University of Bremen,Germany,"Programs are offered in both German and English. While most Bachelor's programs are primarily in German, many Master's programs are taught entirely in English.",6.0 to 7.0,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with an average GPA of 3.0 on a 4.0 scale being a general reference.","SAT is not required. GMAT/GRE scores are not a general admission requirement but may be required for specific Master's programs, such as in management or business.",16-20%,"There are no tuition fees for the majority of Bachelor's and Master's programs. A mandatory semester fee of approximately ~$379 USD (€327 EUR) per semester is required, which includes a public transport pass. The total cost is approximately ~$758 USD (€654 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$379 USD (€327 EUR) per semester.,37/400+,530,"Yes, but limited and highly competitive.",Public,9:1,https://www.uni-bremen.de/en
University of Duisburg-Essen,Germany,"Programs are offered in both German and English. While most Bachelor's programs require strong German proficiency, many Master's programs are taught entirely in English.",6.0 to 7.5,"A specific minimum GPA is not officially published, but admission is highly competitive. An average GPA of 3.0 on a 4.0 scale is a general reference. For certain restricted programs (Numerus Clausus), the GPA is a key selection criterion.",SAT is not required. GMAT/GRE scores are not a general admission requirement but may be required for specific competitive Master's programs.,24%,"There are no tuition fees for the majority of Bachelor's and Master's programs. However, a mandatory semester fee of approximately ~$377 USD (€325 EUR) per semester is required, which includes a public transport pass. The total cost is approximately ~$754 USD (€650 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$377 USD (€325 EUR) per semester.,22/400+,801-850,"Yes, but limited and highly competitive.",Public,10:1,https://www.uni-due.de/en/
University of Ulm,Germany,"Programs are offered in both German and English. While most Bachelor's programs require German proficiency, many Master's and PhD programs are taught entirely in English.",5.5 to 7.0,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with a GPA of 2.7 on the German grading scale (roughly equivalent to a B- average) being a general guideline.","SAT is not required. GMAT/GRE scores are not a general admission requirement but may be required for specific Master's programs. For example, the Master of Science in Finance requires an above-average performance in a quantitative degree.",18-20%,"Non-EU/EEA students are charged tuition fees of ~$1,740 USD (€1,500 EUR) per semester. Additionally, a semester fee of approximately ~$209 USD (€180 EUR) per semester is required. The total cost is approximately ~$3,898 USD (€3,360 EUR) per year.","EU/EEA students do not pay tuition fees. They are only required to pay the semester fee of approximately ~$209 USD (€180 EUR) per semester, totaling ~$418 USD (€360 EUR) per year.",25/400+,546,"Yes, but limited and highly competitive.",Public,10:1 to 15:1,https://www.uni-ulm.de/en/
Technical University of Darmstadt,Germany,"Programs are offered in both German and English. While the majority of Bachelor's programs are in German, many Master's programs are taught entirely in English.",6.5,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with an average GPA of 3.0 on a 4.0 scale or a minimum of 65% in a Bachelor's degree being a general reference.",SAT is not required. GMAT/GRE scores are not a general admission requirement but may be a prerequisite for certain competitive Master's programs.,18-22%,"There are no tuition fees for the majority of Bachelor's and Master's programs. However, a mandatory semester fee of approximately ~$442 USD (€381 EUR) per semester is required, which includes a public transport pass. The total cost is approximately ~$884 USD (€762 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$442 USD (€381 EUR) per semester.,15/400+,253,"Yes, but limited and highly competitive.",Public,9:1,https://www.tu-darmstadt.de/en/
University of Würzburg,Germany,"Programs are offered in both German and English. While most Bachelor's programs are in German, a number of Master's and PhD programs are taught in English.",6.5,"A specific minimum GPA is not officially published for all programs. For admission into exchange programs, a minimum GPA of 2.5 (on a 4.0 scale) is required, while a GPA of 3.0 is a general guideline for international applicants to be competitive.","SAT is not a general requirement. GMAT/GRE scores may be required for specific competitive Master's programs, particularly in fields like finance and management.",25% to 50%,"There are no tuition fees for the majority of Bachelor's and Master's programs. A mandatory semester fee of approximately ~$197 USD (€170 EUR) per semester is required, which includes a public transport pass. The total cost is approximately ~$394 USD (€340 EUR) per year. Note that some specialized or postgraduate degree programs may have their own tuition fees.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$197 USD (€170 EUR) per semester.,17/400+,416,"Yes, but limited and highly competitive.",Public,12:1,https://www.uni-wuerzburg.de/en/
Charité – Universitätsmedizin Berlin,Germany,"Programs are primarily taught in German. Proficiency at the C1 level is typically required for medical studies. Some specialized Master's programs, such as the Master of Science in International Health, are taught entirely in English.",6.0 to 7.0,"A specific minimum GPA is not officially published. Admission to the medicine program is based on the highly competitive German state-wide ""Numerus Clausus"" system, which requires an outstanding academic record (usually an Abitur grade of 1.0 or equivalent).","SAT/GMAT/GRE are not required for general admission to the medical degree program. However, they might be relevant for specific Master's or PhD programs.","The acceptance rate for the medical program is extremely low, with some sources citing an acceptance rate of less than 1%. The university is highly selective.","The core medical degree program has no tuition fees. However, a mandatory semester fee of approximately ~$383 USD (€330 EUR) per semester is required, which includes a public transport pass. Some specialized Master's programs have tuition fees, such as the Master of Science in International Health, which can cost up to ~$9,860 USD (€8,500 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$383 USD (€330 EUR) per semester.,Consistently ranked as the #1 medical school in Germany by multiple ranking bodies., top 30 medical schools worldwide,"Yes, but limited and highly competitive.",Public,3:1,https://www.charite.de/en/
Bielefeld University,Germany,"Programs are offered in both German and English. The majority of Bachelor's programs are in German, while many Master's programs are taught in English.",6.5 to 7.0,"A specific minimum GPA is not officially published. Admission is highly competitive and based on a strong academic record, with an average GPA of 2.5 on a 4.0 scale being a general reference for admission.","SAT is not required for general admission, but may be necessary for students with a U.S. high school diploma to meet German university admission standards. GMAT/GRE scores are not a general admission requirement but may be required for specific competitive Master's programs.", 33% to 50%,"There are no tuition fees for the majority of Bachelor's and Master's programs. A mandatory semester fee of approximately ~$348 USD (€300 EUR) per semester is required, which covers a public transport pass for the entire state of North Rhine-Westphalia. The total cost is approximately ~$696 USD (€600 EUR) per year.",There are no tuition fees. Students must pay the same mandatory semester fee of approximately ~$348 USD (€300 EUR) per semester.,41/400+,1001,"Yes, but limited and highly competitive.",Public,8:1,https://www.uni-bielefeld.de/en/
National and Kapodistrian University of Athens,Greece,"The majority of Bachelor's programs are taught in Greek, requiring strong language proficiency. However, the university offers an increasing number of Master's and PhD programs, as well as a popular Medical Degree program, taught entirely in English",6.5,"A specific minimum GPA is not officially published for all programs. For some postgraduate programs, a minimum GPA of 6.5/10 (Greek grading system) is a prerequisite. A strong academic record is essential for competitive programs like medicine.",SAT scores are an alternative to Greek entrance exams for the English-taught medical program. GMAT/GRE scores are not a general requirement but may be relevant for specific postgraduate programs.,"The acceptance rate is difficult to determine for all programs but is highly competitive, especially for popular fields. Admission to the medical program is very selective.","The cost depends on the program. Many Greek-taught programs are tuition-free for all students. However, the English-taught Medical Degree program has a tuition fee of ~$14,040 USD (€13,000 EUR) per year.","EU students also pay no tuition fees for the majority of Greek-taught programs. For the English-taught Medical Degree program, the tuition fee is the same: ~$14,040 USD (€13,000 EUR) per year.",1/24,216,"Yes, but limited and highly competitive.",Public,32:1,https://en.uoa.gr/
Aristotle University of Thessaloniki,Greece,"The majority of Bachelor's programs are taught in Greek, requiring strong language proficiency. The university also offers a number of Master's and PhD programs, as well as an undergraduate medical degree, taught entirely in English.",6.0 to 6.5,"A specific minimum GPA is not officially published. Admission to competitive fields, like medicine, is based on a strong academic record, with a minimum GPA of 2.5 (on a 4.0 scale) being a general reference for study abroad and some graduate programs.","SAT is not a general requirement, but it can be used as an alternative to Greek entrance exams for some international students applying to the English-taught medical program. GMAT/GRE scores are not generally required.",The acceptance rate is difficult to determine for all programs but is highly competitive. The medical program's acceptance rate is particularly low.,"The cost depends on the program. The majority of Greek-taught programs are tuition-free for all students. However, the English-taught Medical Degree program has a tuition fee of ~$6,480 USD (€6,000 EUR) per year, with a non-refundable deposit of a portion of this fee upon acceptance. Other English-taught programs may also have tuition fees.","EU students also pay no tuition fees for the majority of Greek-taught programs. For the English-taught Medical Degree program, the tuition fee is the same: ~$6,480 USD (€6,000 EUR) per year.",2/24,485,"Yes, but limited and highly competitive.",Public,19:1,https://www.auth.gr/en/ 
National Technical University of Athens (NTUA),Greece,"The majority of programs, particularly at the undergraduate level, are taught in Greek, requiring strong language proficiency. Many Master's and PhD programs are taught in English",6.5,"A specific minimum GPA is not officially published for all programs. Admission is highly competitive, especially for engineering degrees. A GPA of 2.5 on a 4.0 scale is a common requirement for postgraduate students and a strong academic record is essential for all applicants.","SAT is not a general requirement. GMAT/GRE scores are not required for most programs but may be a prerequisite for some specialized Master's programs, such as an MBA.","The acceptance rate is difficult to determine for all programs but is highly competitive, especially for popular engineering fields.","The cost depends on the program. The majority of undergraduate programs are tuition-free for all students, with only an administrative fee of approximately ~$770 USD (€713 EUR) per year. Some specialized English-taught postgraduate programs may have tuition fees.","EU students also pay no tuition fees for the majority of programs, only the same administrative fees as international students.",3/24,355,"Yes, but limited and highly competitive.",Public,8:1,https://www.ntua.gr/en/
University of Crete,Greece,"The majority of Bachelor's programs are taught in Greek, requiring strong language proficiency (C1). The university also offers a growing number of postgraduate and a new undergraduate Medical Degree program taught entirely in English.",6.5,"A specific minimum GPA is not officially published. Admission to the medical program is based on a strong academic record and a variety of standardized tests. For some postgraduate and exchange programs, a minimum GPA of 2.2-2.5 (on a 4.0 scale) is a general reference.",SAT is not a general requirement but can be used as part of the application for the International Program in Medicine. GMAT/GRE scores are not generally required but might be beneficial for some postgraduate programs.,"The acceptance rate is not officially published but is highly selective, especially for the medical program, for which a limited number of spots are available.","Most Greek-taught undergraduate programs are tuition-free for all students. However, the new International Program in Medicine has a tuition fee of ~$14,040 USD (€13,000 EUR) per year. Some English-taught Master's programs may also have fees, such as the Master of Science in Materials Science which costs ~$2,160 USD (€2,000 EUR).",EU students also pay no tuition fees for the majority of Greek-taught programs. The tuition for the English-taught medical program is the same for both EU and non-EU students.,5/24,816,"Yes, but limited and highly competitive.",Public,23:1,https://en.uoc.gr/
University of Patras,Greece,"The majority of undergraduate programs are taught in Greek, requiring strong language proficiency. The university offers a growing number of Master's and PhD programs taught in English.",6.5,"A specific minimum GPA is not officially published for all programs. Admission is highly competitive and based on a strong academic record. For some postgraduate programs, a GPA of at least 7.5 on a scale of 10 is required. For exchange programs, a minimum GPA of 2.2 on a 4.0 scale is a general reference.","SAT is not a general requirement for admission and is not used by the university. GMAT/GRE scores are not a general requirement but may be required for specific competitive Master's programs, such as MBAs (GMAT score of at least 500).","The acceptance rate is not officially published but is considered high for some programs and low for others. One source suggests it is ""not very selective,"" but this can be misleading as competitive departments like engineering are difficult to enter.","The cost depends on the program. Many Greek-taught programs are tuition-free for all students. Some specialized English-taught postgraduate programs may have fees, with some sources mentioning a cost of around ~$3,390 USD (€3,000 EUR) per year for Master's programs.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",5/24,721-730,"Yes, but limited and highly competitive.",Public,35:1,https://www.upatras.gr/en/ 
Athens University of Economics and Business (AUEB),Greece,The majority of undergraduate programs are taught in Greek. AUEB is well-known for its wide selection of postgraduate programs offered entirely in English.,6.5,"A specific minimum GPA is not officially published. Admission to competitive postgraduate programs is based on a strong academic record, with an average GPA of 3.0 on a 4.0 scale being a general reference.","GMAT scores are required for most English-taught Master's programs, with a competitive score of 550 or higher. GRE may be required for some programs. SAT is not a general requirement.","The acceptance rate is not officially published for all programs, but it is highly selective. For the MBA program, for instance, the acceptance rate is very low.","Undergraduate programs taught in Greek are tuition-free for all students. However, specialized English-taught postgraduate programs have tuition fees. The Master's in Marketing & Communication costs around ~$7,452 USD (€6,900 EUR) per year. The International MBA program costs ~$12,960 USD (€12,000 EUR) per year.","EU students also pay no tuition fees for the majority of Greek-taught undergraduate programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",4/24,951-1000,"Yes, but limited and highly competitive.",Public,40:1,https://www.aueb.gr/en/ 
University of Ioannina,Greece,"The majority of undergraduate programs are taught in Greek, requiring C1 level proficiency. The university offers a number of Master's and PhD programs taught in English.",6.5,"A specific minimum GPA is not officially published for all programs. For postgraduate programs, a GPA of at least 7.5 on a scale of 10 is often required. A strong academic record is essential for all applicants.","SAT/GMAT/GRE are not generally required for admission. For some programs, a strong academic background is the primary criterion.","The acceptance rate is not officially published. Admission to the university is considered competitive, with selection based on academic achievements and program-specific criteria","Most Greek-taught programs are tuition-free for all students. Some English-taught postgraduate programs may have fees, typically ranging from ~$1,620 - $2,160 USD (€1,500 - €2,000 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",6/24,1001-1200,"Yes, but limited and highly competitive.",Public,35:1,https://www.uoi.gr/en/
University of Thessaly,Greece,"The majority of undergraduate programs are taught in Greek, requiring C1 level proficiency. A number of postgraduate programs, including a Medical Degree program, are offered in English.",6.5,"A specific minimum GPA is not officially published for all programs. Admission is highly competitive and based on a strong academic record. For some postgraduate programs, a GPA of at least 7.5 on a scale of 10 is often required.","SAT/GMAT/GRE are not generally required for admission. For some English-taught programs, a strong academic background and interview performance are the primary criteria.","The acceptance rate is not officially published. Admission to the university is considered competitive, with selection based on academic achievements and program-specific criteria.","Most Greek-taught programs are tuition-free for all students. Some English-taught postgraduate programs may have fees, typically around ~$2,160 USD (€2,000 EUR) per year. The English-taught Medical Degree program has an approximate tuition fee of ~$14,040 USD (€13,000 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For the postgraduate and medical programs that have fees, the cost is the same for both EU and non-EU students.",8/24,1201-1500,"Yes, but limited and highly competitive.",Public,20:1,https://www.uth.gr/en/
Democritus University of Thrace,Greece,"The majority of programs, particularly at the undergraduate level, are taught in Greek. The university offers a number of Master's and PhD programs taught in English.",6.5,"A specific minimum GPA is not officially published. Admission to competitive programs, such as medicine, is based on a strong academic record, and other standardized tests may be required. For some postgraduate programs, a GPA of at least 8.0 out of 10 may be necessary.","SAT/GMAT/GRE are not a general requirement for admission, but may be accepted as part of the application for certain programs (e.g., medicine).",30%,"Most Greek-taught programs are tuition-free for all students. Some postgraduate programs, like the MSc in International Management, have tuition fees of approximately ~$4,320 USD (€4,000 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",8/24,1001-1200,"Yes, but limited and highly competitive.",Public,38:1,https://duth.gr/en/
Agricultural University of Athens,Greece,"The majority of undergraduate programs are taught in Greek, requiring language proficiency. The university offers an increasing number of postgraduate programs taught in English",6.5,"A specific minimum GPA is not officially published, but a strong academic record is required for admission. Some sources suggest a minimum GPA of 3.0 on a 4.0 scale for postgraduate programs.","SAT/GMAT/GRE are not a general requirement for admission, but may be considered for certain postgraduate programs.","The acceptance rate is not officially published. Admission to the university is considered competitive, with a selection process based on academic achievements.","The majority of undergraduate programs are tuition-free for all students. Some specialized postgraduate programs may have fees, with some sources citing an average of ~$4,434 USD per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",10/24,1797,"Yes, but limited and highly competitive.",Public,9:1,https://www.aua.gr/en/
Harokopio University,Greece,"The majority of undergraduate programs are taught in Greek, requiring C1 level proficiency. The university offers a growing number of postgraduate programs in English.",6.5,"A specific minimum GPA is not officially published. Admission is competitive and based on a strong academic record, with an average of 2.5 (on a 4.0 scale) being a general reference.","SAT/GMAT/GRE are not generally required for undergraduate admission. For some postgraduate programs, a strong academic background is the primary criterion, though some programs may consider standardized test scores.","The acceptance rate is not officially published. Admission is considered highly competitive, with selection based on academic achievements.","Most Greek-taught programs are tuition-free for all students. Some specialized English-taught postgraduate programs may have fees, typically around ~$4,320 USD (€4,000 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",11/24,1001-1200,"Yes, but limited and highly competitive.",Public,44:1,https://interstudies.hua.gr/
University of Macedonia,Greece,"The majority of undergraduate programs are taught in Greek, requiring C1 level proficiency. The university offers a wide range of postgraduate programs taught in English.", 5.5,"A specific minimum GPA is not officially published. Admission to the university is competitive and based on a strong academic record, with an average GPA of 2.5 (on a 4.0 scale) being a general reference for admission to some postgraduate programs.","GMAT scores may be required for some Master's programs, particularly in Business Administration, though a specific score is not always published. SAT is not a general requirement.","The acceptance rate is not officially published, but admission is considered highly competitive, especially for popular programs.","Most undergraduate programs are tuition-free for all students. Postgraduate programs have tuition fees that vary by program. For example, some Master's programs cost around ~$2,160 USD (€2,000 EUR) to ~$4,320 USD (€4,000 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",14/24,1001-1200,"Yes, but limited and highly competitive.",Public,20:1,https://www.uom.gr/en/
Technical University of Crete,Greece,"The majority of undergraduate programs are taught in Greek, and strong language proficiency is required. The university offers a growing number of Master's and PhD programs taught in English.",6.5,A specific minimum GPA is not officially published. Admission to the university is competitive and based on a strong academic record.,"SAT/GMAT/GRE are not a general requirement for undergraduate admission. For some postgraduate programs, a strong academic background is the primary criterion, though some programs may consider standardized test scores.","The acceptance rate is not officially published. Admission is considered highly competitive, especially for the engineering departments.","Most undergraduate programs are tuition-free for all students. Some specialized English-taught postgraduate programs may have fees, with some sources citing fees as low as ~$1,080 USD (€1,000 EUR) for the full program for non-EU students.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",9/24,601-650,"Yes, but limited and highly competitive.",Public,13:1,https://www.tuc.gr/en/ 
University of Piraeus,Greece,The majority of undergraduate programs are taught in Greek. The university offers a number of Master's and PhD programs taught in English.,5.5,"A specific minimum GPA is not officially published. Admission to the university is highly competitive and based on a strong academic record, with some sources mentioning that an overall grade of 5.0 out of 10 is the passing grade.",SAT/GMAT/GRE are not a general requirement for undergraduate admission. Some Master's programs may require or recommend a strong GMAT/GRE score.,The acceptance rate is not officially published. Admission to the university is considered highly selective and is based on a strong academic background.,"Most undergraduate programs are tuition-free for all students. Some specialized postgraduate programs, such as the MSc in International Management, have tuition fees, with some sources citing an average of ~$2,160 USD (€2,000 EUR) to ~$4,320 USD (€4,000 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",14/24,1001-1200,"Yes, but limited and highly competitive.",Public,20:1,https://www.unipi.gr/en/ 
Ionian University,Greece,"The majority of undergraduate programs are taught in Greek, and strong language proficiency is required. Some postgraduate programs, particularly at the Master's and PhD level, are offered in English.",5.5,"A specific minimum GPA is not officially published. Admission to the university is competitive and based on a strong academic record, with an average grade being a key evaluation element.","SAT/GMAT/GRE are not a general requirement for undergraduate admission. For some postgraduate programs, a strong academic background is the primary criterion, but some programs may consider standardized test scores.","The acceptance rate is not officially published. Admission is competitive, with selection based on academic achievements and program-specific entrance exams for some departments (e.g., Music, Audio & Visual Arts).","Most undergraduate programs are tuition-free for all students. Some postgraduate programs have fees, with an average ranging from ~$1,620 USD (€1,500 EUR) to ~$2,160 USD (€2,000 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",16/24,1501+,"Yes, but limited and highly competitive.",Public,10:1,https://ionio.gr/en/
Panteion University of Social and Political Sciences,Greece,"The majority of undergraduate programs are taught in Greek, requiring strong language proficiency. The university offers a number of postgraduate programs and courses taught in English.",6.5,"A specific minimum GPA is not officially published for all programs. Admission is highly competitive and based on a strong academic record, with some sources mentioning a GPA of 7.5 on a 1-10 scale for competitive postgraduate programs.","SAT/GMAT/GRE are not a general requirement. For some specialized Master's programs, a GMAT score of at least 500 may be required.",The acceptance rate is not officially published. Admission to the university is considered highly selective and is based on a strong academic background.,"The majority of undergraduate programs are tuition-free for all students. Some postgraduate programs may have fees, with some sources citing an average of ~$4,487 USD per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",15/24,1201-1500,"Yes, but limited and highly competitive.",Public,45:1,https://www.panteion.gr/en/
University of the Aegean,Greece,"The majority of undergraduate programs are taught in Greek, requiring strong language proficiency. The university offers a number of postgraduate programs and courses in English.",6.0,"A specific minimum GPA is not officially published. Admission to the university is competitive and based on a strong academic record, with some sources suggesting a minimum GPA of 2.0 on a 4.0 scale for admission to some programs.","SAT/GMAT/GRE are not a general requirement. For some specialized Master's programs, a strong GMAT score (e.g., 500) may be required.","The acceptance rate is not officially published, but some sources have cited a high acceptance rate. Admission is based on academic qualifications and competition can vary by department.","Most undergraduate programs are tuition-free for all students. Some specialized English-taught postgraduate programs may have fees, with some sources citing an average of ~$4,300 USD (€4,000 EUR) to ~$4,500 USD (€4,200 EUR) per year.","EU students also pay no tuition fees for the majority of programs. For postgraduate programs that have fees, the cost is the same for both EU and non-EU students.",9/24,1001-1200,"Yes, but limited and highly competitive.",Public,66:1,https://www.aegean.gr/en/
Eötvös Loránd University (ELTE),Hungary,"Hungarian and English. ELTE offers numerous Bachelor's, Master's, and PhD programs fully taught in English.",5.5-6.5,"A specific minimum GPA is not officially published for all programs, but a strong academic record is required for competitive programs. A GPA of 2.0 on a 4.0 scale is a general reference for admission, with a higher GPA often being required.","SAT/GMAT/GRE are not generally required for admission, but may be considered as supplementary documents. The primary admission criteria are academic transcripts and an oral entrance exam",10-20%,"Tuition fees for Bachelor's programs range from ~$4,500 USD to ~$8,500 USD per year. Master's program fees are generally in a similar range, with some sources citing an average of ~$6,256 USD per year.","Tuition fees for EU students are often lower, with some sources citing an average of ~$2,781 USD per year. Many programs have the same fees for both EU and non-EU students.",1/64,508,"Yes, significant scholarship opportunities are available.",Public,13:1,https://www.elte.hu/en/
Semmelweis University (medical focus),Hungary,"English, German, and Hungarian. Programs in English and German are specifically designed for international students.",6.5,"A specific minimum GPA is not officially published. Admission is highly competitive and based on academic transcripts from high school, with strong grades in biology and chemistry being essential.","SAT/GMAT/GRE are not generally required. Instead, Semmelweis University requires applicants to pass a specific entrance examination that includes written tests in medical biology, medical chemistry, and English, followed by an oral interview.","The acceptance rate is not officially published, but due to the university's prestige and limited spots, admission is extremely selective."," ~$19,900 USD for the general medicine program. Tuition fees vary by program and can range from ~$7,200 USD to ~$19,900 USD per year. An admission fee and a one-time enrollment fee also apply.","Tuition fees are generally lower for EU citizens. For many programs, EU students pay fees that are a fraction of the international tuition, though specific costs vary by program and are subject to change.",Ranked among the top 5 universities in Hungary and is considered the country's best medical university.,251-300,"Yes, significant scholarship opportunities are available.",Public,8:1,https://semmelweis.hu/en/
University of Szeged,Hungary,"Hungarian and English. The university offers a large number of Bachelor's, Master's, and PhD programs fully in English.",5.5-6.5,"A specific minimum GPA is not officially published for all programs, but a strong academic record is required. Some sources cite a general reference GPA of 2.5 on a 4.0 scale.","SAT/GMAT/GRE are not generally required. Instead, admission to most programs, particularly in medicine and health sciences, is based on a successful performance in a subject-specific entrance examination.",50%,"Tuition fees vary widely by program. For example, General Medicine costs around ~$17,000 USD per year, while other Bachelor's programs can range from ~$4,000 USD to ~$8,500 USD per year.","Tuition fees for EU students are often the same as for non-EU students for English-taught programs. For programs in Hungarian, tuition is generally much lower.",2/64,597,"Yes, significant scholarship opportunities are available.",Public,10:1 to 12:1,https://u-szeged.hu/english
